Year,abstractcoverage,articles,journals,meta-analysis,corrigenda,critique,reanalyses,replications,disconfirms,retractions,bayes
1950,0.998,3850,97,0,0,39,0,0,0,0,0
1951,0.995,3762,101,0,0,32,0,0,2,0,0
1952,0.994,3824,107,0,2,41,0,0,1,0,0
1953,0.997,4282,112,0,2,46,0,0,2,0,0
1954,0.987,4539,115,0,1,56,1,0,5,0,0
1955,0.982,4969,117,0,3,54,1,0,4,0,0
1956,0.885,5103,124,0,2,53,4,0,2,0,1
1957,0.851,5115,129,0,6,57,2,0,4,0,0
1958,0.845,4902,135,0,12,50,2,0,5,0,0
1959,0.914,4932,142,0,2,63,2,0,4,0,0
1960,0.983,4976,149,0,4,43,2,0,2,0,0
1961,0.992,5034,157,0,2,60,6,0,3,0,2
1962,1.000,5885,169,0,5,57,3,0,6,0,3
1963,0.915,5977,181,0,24,81,3,0,7,0,3
1964,0.880,6734,197,0,13,69,1,0,7,0,2
1965,0.895,7573,207,0,10,52,2,0,7,0,5
1966,0.816,8755,233,0,6,74,4,0,9,0,8
1967,0.835,10634,248,0,15,65,8,0,11,0,11
1968,0.827,12389,262,0,16,74,5,0,11,0,10
1969,0.789,12105,284,0,22,89,12,0,14,0,11
1970,0.825,11958,303,0,22,82,8,0,14,0,8
1971,0.746,13439,333,0,18,87,8,0,18,0,17
1972,0.770,14418,368,0,15,108,10,0,19,0,22
1973,0.775,16641,404,0,25,110,15,0,36,0,16
1974,0.974,18426,431,0,21,103,16,0,37,0,14
1975,0.983,18088,458,0,20,113,16,0,31,0,23
1976,0.684,19156,477,0,30,157,20,0,41,0,15
1977,0.683,20068,503,0,18,131,22,0,34,0,16
1978,0.659,20322,517,4,22,168,32,0,53,0,16
1979,0.637,17084,535,4,3,156,22,0,39,0,21
1980,0.848,17936,557,10,5,132,20,0,43,0,20
1981,0.751,19625,605,11,5,177,26,0,36,0,20
1982,0.731,26664,674,34,3,215,37,0,47,0,17
1983,0.727,28860,723,56,4,276,40,0,75,0,22
1984,0.823,30262,756,57,3,307,40,0,73,0,12
1985,0.803,32997,792,67,4,320,48,0,73,0,17
1986,0.837,35606,836,71,3,395,30,96,50,0,23
1987,0.859,33049,874,69,5,254,40,74,47,0,22
1988,0.872,33171,911,69,8,225,29,79,38,0,26
1989,0.902,36447,957,77,69,302,35,93,56,2,20
1990,0.867,36914,1001,103,59,304,28,101,49,1,33
1991,0.867,38588,1045,99,88,362,46,109,44,0,24
1992,0.868,40916,1113,112,111,333,32,118,60,0,32
1993,0.910,42509,1161,146,122,362,39,118,56,0,21
1994,0.905,45232,1212,135,131,458,40,126,59,0,23
1995,0.910,45542,1255,203,101,463,34,132,49,0,46
1996,0.931,45932,1297,153,77,399,46,125,52,0,52
1997,0.958,46989,1332,183,94,380,44,138,58,0,61
1998,1.000,50201,1392,191,141,399,32,183,72,0,55
1999,1.000,51791,1444,224,122,418,44,186,75,1,59
2000,1.000,54843,1548,215,121,396,49,167,63,0,56
2001,1.000,59356,1675,281,144,388,37,196,75,4,77
2002,0.681,67065,1753,287,200,673,38,179,81,3,107
2003,0.998,78188,1809,402,242,800,43,249,99,4,130
2004,1.000,83758,1889,431,228,772,47,285,108,2,118
2005,1.000,91271,2025,526,310,717,59,296,108,1,155
2006,1.000,101749,2147,568,477,756,60,354,95,7,228
2007,1.000,109521,2274,655,473,684,51,386,148,4,229
2008,1.000,124142,2372,784,519,699,62,428,152,11,319
2009,1.000,130783,2423,895,577,671,71,477,158,20,413
2010,1.000,135543,2462,1022,694,727,61,529,167,13,394
2011,1.000,144453,2490,1288,725,734,80,542,176,20,500
2012,1.000,150137,2521,1341,715,896,67,582,175,54,559
2013,1.000,155374,2545,1614,791,722,67,670,186,69,575
2014,1.000,157795,2557,1797,901,695,92,691,180,44,627
2015,NA,157757,2559,2118,987,736,61,711,205,40,773
