,x,chjh
1,"Examined whether the association between depression (DEP) and headaches (HAs) was greater among women who matured during periods of a high degree of change in opportunities for achievement compared with women of the previous generation. In Studies 1a and 1b, a replication of a study by D. K. Zeigler et al (1978) found that DEP and HA frequency were significantly related among women born between 1937 and 1951 and those born between 1952 and 1961 (periods of change), whereas HAs and DEP were not significantly related among women born between 1922 and 1936 (a period of stability). In Studies 2a and 2b, self-reported DEP and HA shared significant variance only among 53 of 208 female adolescents (aged 14–29 yrs) who reported concerns regarding the limited achievements of their mothers. These females may view the roles of adult women as being limited and may experience stress and low self-esteem associated with depressive and somatic symptomatology. (PsycINFO Database Record (c) 2013 APA, all rights reserved)",1
2,"[Correction Notice: An Erratum for this article was reported in Vol 24(5) of Neuropsychological Rehabilitation (see record [rid]2014-32552-001[/rid]). In the original article, an incorrect version of Figure 4 was published. The correction has been made to this article.] Developing language treatments that not only improve trained items but also promote generalisation to untrained items is a major focus in aphasia research. This study is a replication and extension of previous work which found that training abstract words in a particular context-category promotes generalisation to concrete words but not vice versa (Kiran, Sandberg, & Abbott, 2009). Twelve persons with aphasia (five female) with varying types and degrees of severity participated in a generative naming treatment based on the Complexity Account of Treatment Efficacy (CATE; Thompson, Shapiro, Kiran, & Sobecks, 2003). All participants were trained to generate abstract words in a particular context-category by analysing the semantic features of the target words. Two other context-categories were used as controls. Ten of the twelve participants improved on the trained abstract words in the trained context-category. Eight of the ten participants who responded to treatment also generalised to concrete words in the same context-category. These results suggest that this treatment is both efficacious and efficient. We discuss possible mechanisms of training and generalisation effects. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)",1
3,"Background: Research in adults suggests that intrusive memories are not just found in individuals with post-traumatic stress disorder (PTSD), yet there is little evidence concerning the phenomenology of intrusive memories in children and adolescents. The present study investigated the frequency of intrusive memories following a recent negative event in an adolescent school sample, and considered the application of cognitive theory to understanding the maintenance of intrusive memories of recent negative events, and their role in maintaining depression. Methods: High school students (aged 11–18 years; n = 231) completed questionnaires concerning affect experienced during a recent negative event, the frequency of subsequent intrusive memories, memory quality, thought suppression, post-traumatic stress and depressive symptoms. Results: Most participants had experienced at least one intrusive memory in the previous week, at similar rates for traumatic events and life events. In non-trauma exposed youth, peri-event affect and memory quality accounted for unique variance in a regression model of intrusive memory frequency, while peri-event affect, memory quality, and intrusive memory frequency accounted for unique variance in a regression model of depression. Limitations: The study needs replication in younger children. Interview methods may be required to ensure that intrusive memories are being assessed and not intrusive thoughts or ruminations. Conclusions: Intrusive memories are common reaction to negative events in adolescents, and may be involved in maintaining subsequent depressed mood. The nature of event memories may have a role in the maintenance of such psychopathology, and may be a target for psychological interventions in this age group. (PsycINFO Database Record (c) 2013 APA, all rights reserved). (journal abstract)",0
4,"The authors investigated whether therapist effects may account for treatment outcomes among pregnant substance users in controlled and naturalistic treatments. Therapists randomized to Motivational Enhancement Therapy (MET) and treatment as usual (TAU) conditions and assigned at least five clients were included. Client self-reported substance use and urine toxicology at posttreatment, 1- and 3-month follow-ups were obtained. A therapist main effect was found across therapy conditions and within MET (five therapists) but not within TAU (five therapists). When substance use was treated as a dichotomous measure (abstinence/nonabstinence) corroborated with urine toxicology screening, no therapist effect was found. Clients perceived therapists to vary in their supportiveness and listening skills, for example, but these impressions were not associated with therapist effectiveness to reduce substance use. The authors found support for a limited therapist effect, but only within the MET condition and only with a continuous outcome variable. Secondary analyses identified differences in client impressions of their therapist, but these impressions did not predict therapist effectiveness in reducing substance use. Although these findings warrant replication, they suggest that client substance use outcomes among pregnant women may be rather homogeneous regardless of the type of intervention or therapist. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)",0
5,"Compared the readability of the Big Book in Alcoholics Anonymous and the Small Book in Rational Recovery, both used in drug and alcohol treatment programs. 50 pages were selected at random from each book and a 100-word sample was taken from each page. An R.F. Flesch (1974) reading ease score was calculated for each sample with reading difficulty diminishing as reading ease scores increase. Results of this replication study confirmed K.R. Mill's (1989) finding of an 8th- or 9th-grade reading level required for the Big Book. In contrast, the Small Book for Rational Recovery required college level reading. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",1
6,"Expertly collected, well-curated data sets consisting of comprehensive clinical characterization and raw structural, functional and diffusion-weighted DICOM images in schizophrenia patients and sex and age-matched controls are now accessible to the scientific community through an on-line data repository (coins.mrn.org). The Mental Illness and Neuroscience Discovery Institute, now the Mind Research Network (MRN, http://www.mrn.org/), comprised of investigators at the University of New Mexico, the University of Minnesota, Massachusetts General Hospital, and the University of Iowa, conducted a cross-sectional study to identify quantitative neuroimaging biomarkers of schizophrenia. Data acquisition across multiple sites permitted the integration and cross-validation of clinical, cognitive, morphometric, and functional neuroimaging results gathered from unique samples of schizophrenia patients and controls using a common protocol across sites. Particular effort was made to recruit patients early in the course of their illness, at the onset of their symptoms. There is a relatively even sampling of illness duration in chronic patients. This data repository will be useful to 1) scientists who can study schizophrenia by further analysis of this cohort and/or by pooling with other data; 2) computer scientists and software algorithm developers for testing and validating novel registration, segmentation, and other analysis software; and 3) educators in the fields of neuroimaging, medical image analysis and medical imaging informatics who need exemplar data sets for courses and workshops. Sharing provides the opportunity for independent replication of already published results from this data set and novel exploration. This manuscript describes the inclusion/exclusion criteria, imaging parameters and other information that will assist those wishing to use this data repository. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)",1
7,"Investigated the influence of a low dose of morphine (MOR) on the acquisition and maintenance of consumption of a sweetened ethanol (EtOH) solution. In Exp 1, 25 male rats were injected with either saline (SAL), nothing or MOR and then allowed to drink from 2 bottles, one with EtOH and 1 with plain water for 6 days. The next 6 days Ss were given access to both bottles but no injection. During acquisition in Exp 1, MOR failed to significantly increase the consumption of a sweetened EtOH solution compared to either a postinjection period in the same Ss or a no-treatment control group. Although MOR significantly increased sweetened EtOH consumption when compared to a SAL group, this appears to be due to a stress response to the injections. During maintenance in Exp 2, MOR significantly increased consumption of sweetened EtOH in all groups compared to consumption following SAL control injections. There was no difference in this effect among the 3 groups, suggesting that prior history with MOR was not a factor. In addition, Ss that were exposed to MOR during both experiments drank significantly more sweetened EtOH following injections in Exp 2 than in Exp 1. This study was a replication of studies by C. L. Hubbel et al (1991) and C. W. Hodge et al (1992). (PsycINFO Database Record (c) 2012 APA, all rights reserved)",1
8,"Surveyed music therapists' (MTs') use of music for pain relief (PR) with elderly and medically, neurologically, and physically disabled populations. 136 Ss responded to a survey about their use of music and music vibration in pain management. The results indicated that 41% of Ss used music specifically for PR and suggested a growing interest in the use of music for PR. Research in pain management is reviewed and it is stated that most of the music-and-pain studies do not specifically state what musical stimuli were used to provide PR, preventing future replication. Suggestions for future research are provided. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",0
9,"This article provides an introduction to this special issue of the Behavior Analyst Today, which focuses on bridge studies. In each article, both the basic processes and the applied implications of complex phenomena are described, and questions are posed regarding replication studies and extension studies. The authors note that the contributors have focused their discussions primarily on ""why"" questions, but their discussions all lead quite clearly to addressing ""how"" questions. (PsycINFO Database Record (c) 2014 APA, all rights reserved)",0
10,"1. From virtually nowhere 20 years ago to sales of US$9.5 billion in 2007, the video game industry has now overtaken movie industry box-office receipts in terms of annual sales, and blockbuster video games can out perform blockbuster movies for opening-week sales. This dramatic growth is likely to continue in coming years. Yet there has been little scholarly attention to consumers within the industry. This research fills this gap by providing a comprehensive study of consumer behaviour in the gaming industry, using the Theory of Planned Behaviour (TPB); a widely used, robust and reliable consumer research instrument. The study elicits key salient attributes for the major constructs in the TPB model—attitude, subjective norm, and perceived behavioural control—and shows how these key constructs affect purchase intention. To avoid aggregation error in analysing overall market data, this study segments the market and examines differences in perspective by gamer type. We therefore examine differences in these key salient attributes by gamer type to understand consumer motivations better. 2. As the first systematic study to examine consumer behaviour issues in the gaming industry, this study provides useful insights to consumers' behaviour in a large, growing industry. Consumer perceptions and behaviour toward entertainment software is complex and this study is not the final word, but it is the first available empirical evidence and can thus move forward the discussion from speculation to replication, extension, and alternative approaches. For managers in this industry, this study demonstrates how a comprehensive model can be applied to entertainment software. (PsycINFO Database Record (c) 2013 APA, all rights reserved). (journal abstract)",0
