,x,jmw
1,"Comments on an article by J. L. McClelland et al. (see record [rid]2010-16091-010[/rid]) and T. L. Griffiths et al. (see record [rid]2010-16091-011[/rid]). Griffiths et al. and McClelland et al. one cannot help but think of the old parable about the blind men and the elephant: each essay offers true and interesting insights into the mind, yet each seems ultimately incomplete. Of the two,Griffiths et al. seem to come closer to offering a satisfying approach. Theirs is currently a robust, active research program, whereas progress in connectionism has slowed considerably in recent years. In the final analysis, contemporary connectionist and Bayesian approaches only scratch the surface of cognitive possibility. Genuinely adequate theories must borrow from each of these traditions the emphasis of connectionism on development, and on how complex cognition derives from the actions of relatively simple low-level units; Bayes' emphasis on reverse engineering. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",0
2,"Personnel psychologists have traditionally believed that employment test validities are situation specific. This study presents a Bayesian statistical model that is based on the alternate hypothesis that variation in validity outcomes from study to study for similar jobs and tests is artifactual in nature. Certain outcomes using this model permit validity generalization to new settings without carrying out a validation study of any kind. Where such generalization is not justified, the procedure is considered to provide an improved method of data analysis and decision making for the necessary situational validity study. Application to 4 distributions of empirical validity coefficients is presented to demonstrate the power of the model. (22 ref) (PsycINFO Database Record (c) 2012 APA, all rights reserved)",1
3,"A multiple hypothesis problem with directional alternatives is considered in a decision theoretic framework. Skewness in the alternatives is considered, and it is shown that this skewness permits the Bayes rules to possess certain advantages when one direction of the alternatives is more important or more probable than the other direction. Bayes rules subject to constraints on certain directional false discovery rates are obtained, and their performances are compared with a traditional FDR rule through simulation. We also analyzed a gene expression data using our methodology, and compare the results to that of a FDR method. (PsycINFO Database Record (c) 2013 APA, all rights reserved). (journal abstract)",1
4,"Recent research advocates the use of count models with random parameters as an alternative method for analyzing accident frequencies. In this paper a dataset composed of urban arterials in Vancouver, British Columbia, is considered where the 392 segments were clustered into 58 corridors. The main objective is to assess the corridor effects with alternate specifications. The proposed models were estimated in a Full Bayes context via Markov Chain Monte Carlo (MCMC) simulation and were compared in terms of their goodness of fit and inference. A variety of covariates were found to significantly influence accident frequencies. However, these covariates resulted in random parameters and thereby their effects on accident frequency were found to vary significantly across corridors. Further, a Poisson-lognormal (PLN) model with random parameters for each corridor provided the best fit. Apart from the improvement in goodness of fit, such an approach is useful in gaining new insights into how accident frequencies are influenced by the covariates, and in accounting for heterogeneity due to unobserved road geometrics, traffic characteristics, environmental factors and driver behavior. The inclusion of corridor effects in the mean function could also explain enough variation that some of the model covariates would be rendered non-significant and thereby affecting model inference. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)",1
5,"Computational neuroscience has uncovered a number of computational principles used by nervous systems. At the same time, neuromorphic hardware has matured to a state where fast silicon implementations of complex neural networks have become feasible. En route to future technical applications of neuromorphic computing the current challenge lies in the identification and implementation of functional brain algorithms. Taking inspiration from the olfactory system of insects, we constructed a spiking neural network for the classification of multivariate data, a common problem in signal and data analysis. In this model, real-valued multivariate data are converted into spike trains using “virtual receptors�<U+FFFD> (VRs). Their output is processed by lateral inhibition and drives a winner-take-all circuit that supports supervised learning. VRs are conveniently implemented in software, whereas the lateral inhibition and classification stages run on accelerated neuromorphic hardware. When trained and tested on real-world datasets, we find that the classification performance is on par with a naïve Bayes classifier. An analysis of the network dynamics shows that stable decisions in output neuron populations are reached within less than 100 ms of biological time, matching the time-to-decision reported for the insect nervous system. Through leveraging a population code, the network tolerates the variability of neuronal transfer functions and trial-to-trial variation that is inevitably present on the hardware system. Our work provides a proof of principle for the successful implementation of a functional spiking neural network on a configurable neuromorphic hardware system that can readily be applied to real-world computing problems. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)",1
6,"Background: Many persons dying of cancer enroll in home-based hospice prior to death. It is established in the literature that persons in rural settings are less likely to use hospice than persons living in urban areas. We examine whether this is due, in part, to a lack of hospice providers serving rural areas. Methods: The 100% Medicare enrollment and hospice files for 2000-2002 were the basis for this study. We used a Bayesian smoothing technique to estimate the ZIP-code-level service area for each Medicare-certified hospice in the United States. These service areas were combined to identify ZIP codes not served by any hospice. Results: Overall, approximately 332,000 elders (7.5% of ZIP codes) reside in areas not served by home-based hospice. Each year over 15,000 deaths occur in these unserved areas. There was a strong association between lack of service and urban/rural gradient. One hundred percent of the ZIP codes in the most urban areas (>1,000,000 people) are served by hospice and only 2.8% of the ZIP codes in urban areas of less than 1,000,000 are unserved. In rural areas adjacent to urban areas, over 9% of ZIP codes are unserved and in rural areas not adjacent to an urban area almost 24% of ZIP codes are not served by hospice. Conclusions: While the majority of the elderly population of the US resides in areas currently served by Medicare-certified hospice, there is a geographically large area that lacks home-based hospice services. Current payment policies may need to be adjusted to facilitate hospice availability to these rural populations. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)",1
7,"Within Bayesian estimation, prior distributions are placed on model parameters and these distributions can take on many different levels of informativeness. Although much of the research conducted within this estimation framework uses what are called diffuse (or noninformative) priors, there are certain models and modeling circumstances where it is more optimal to use what are referred to as informative priors. This study focuses on the latter situation and examines the effects of inaccurate informative priors on the growth parameters within the context of growth mixture modeling. Overall, results indicated that growth mixture modeling is relatively robust to the use of inaccurate mean hyperparameters for the growth parameters, as long as the variance hyperparameters are somewhat large. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)",1
8,"Conducted an investigation into the use of Bayesian learning of the parameters of a multivariate Gaussian mixture density. In a framework of the continuous density hidden Markov model (CDHMM), Bayesian learning serves as a unified approach for parameter smoothing, speaker adaptation, speaker clustering, and corrective training. The goal was to enhance model robustness in a CDHMM-based speech recognition system so as to improve performance. The theoretical basis for this procedure is presented, and results applying it to parameter smoothing, speaker adaptation, speaker clustering, and corrective training are given. Sex-dependent modeling is also addressed. (French & German abstracts) (PsycINFO Database Record (c) 2012 APA, all rights reserved)",1
9,"Analyzes, statistically, the psychological stress normally associated with a waiting situation and describes this reaction as the result of a building-up process starting at the beginning of the waiting period and sometimes even before. Analysis of the process supported the hypothesis that the resulting stress could be explained by the sense of waste the individual associates with the time spent in waiting and by the uncertainty he/she may have about the remaining waiting time. It is proved that, under general conditions, the resulting psychological stress accumulated during the process is a marginal increasing function of the waiting time. It is shown that the total psychological cost for the whole waiting period could be cut down by providing the individual with real time information about when he/she would be served, and some optimal policies for informing the waiting individual are derived. The same pattern of results was obtained considering both Bayesian and non-Bayesian behavior of the individual during the waiting process, and the case of Bayesian behavior is appended. (11 ref) (PsycINFO Database Record (c) 2012 APA, all rights reserved)",0
10,"Extreme learning machine (ELM) has shown its good performance in regression applications with a very fast speed. But there is still a difficulty to compromise between better generalization performance and smaller complexity of the ELM (a number of hidden nodes). This paper proposes a method called Delta Test-ELM (DT-ELM), which operates in an incremental way to create less complex ELM structures and determines the number of hidden nodes automatically. It uses Bayesian Information Criterion (BIC) as well as Delta Test (DT) to restrict the search as well as to consider the size of the network and prevent overfitting. Moreover, ensemble modeling is used on different DT-ELM models and it shows good test results in Experiments section. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)",1
