,x,jmw
1,"Reports an error in the original article by J. W. Baird (Psychological Bulletin, Vol 8(7) Jul 1911, 243-253). Through an unfortunate mishap in the printing office several sentences in the article were so mutilated as to render them almost unintelligible. Corrections to the lines which suffered (page 246, lines 21-26) are provided. (The following abstract of this article originally appeared in record [rid]1926-02150-001[/rid].) Reviews 54 publications dealing with memory and imagination, intellectual processes, practice, transfer and correlations, and abstraction and generalization (1910). Several systematic treatises of the general problems of memory and imagination have appeared. Discussions of general questions, such as the relation between mechanical and logical memory have also been attempted. Imagery, association, learning and forgetting, unusual memories; and intellectual processes like reflex movements, belief-disbelief consciousness and recalling names are the other topics focuses on. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",1
2,"Reports an error in ""Intraoperative neurophysiological monitoring of somatosensory evoked potentials during hip arthroscopy surgery"" by Barbara C. Ochs, Andrea Herzka and Ilker Yaylali (The Neurodiagnostic Journal, 2012[Dec], Vol 52[4], 312-319). In the original article, Figure 3 and Figure 5 are incorrectly placed. Figure 3 should be the data in Figure 5 and Figure 5 should be the data in Figure 3. The figure labels are correct. (The following abstract of the original article appeared in record [rid]2012-35119-002[/rid]). Arthroscopic hip surgery is used to treat many of the causes of hip pain, hip instability, and hip disorders. Hip pain and instability are often caused by injuries to the acetabular labrum. Repairing labral tears, suturing, and debridement involve stabilizing the hip and placing the operative side leg in traction (Phillipon 2006, Phillipon and Schenker 2006) to allow for instrument clearance and to avoid iatrogenic injury to the chondral surfaces. This places the sciatic nerve in a stretched position and may cause temporary or permanent nerve injury. Transient neuropraxia is the most common injury occurring in 5% of the patients undergoing arthroscopic hip surgery (McCarthy and Lee 2006). 35 patients; 24 women and 11 men, (a total of 36 surgeries) were monitored with intraoperative neurophysiological monitoring using somatosensory evoked potentials (SSEPs) during hip arthroscopy for labral repair and femoral head osteoplasty. They ranged in age from 15 to 59 years; mean age: 39.81 years. During surgery 19 (54%) patients experienced significant SSEP waveform changes. Time from placement of traction to loss of signals in those patients experiencing SSEP changes ranged from 7 minutes to 46 minutes. Recovery of SSEP signals ranged from 2 minutes to over 15 minutes when the traction of the leg was released. Surgeries ranged from 2 to 4 hours; mean: 2.78 hours. These findings show that neuromonitoring during hip arthroscopic labral repair and debridement procedures might be useful to prevent temporary and permanent neural tissue injuries. (PsycINFO Database Record (c) 2015 APA, all rights reserved)",1
3,"Reports an error in the original article by Michael A. Burman, Mark J. Starr, and Jonathan C. Gewirtz (Hippocampus, 2006, Vol 16(2), 103-113). An error occurred in the content of the article ""Dissociable Effects of Hippocampus Lesions on Expression of Fear and Trace Fear Conditioning Memories in Rats,"". The corrected content is given in the present article. (The following abstract of this article originally appeared in record [rid]2006-02627-001[/rid]). The role of the hippocampus in memory is commonly investigated by comparing fear conditioning paradigms that differ in their reliance on the hippocampus. For example, the dorsal (septal) portion of the hippocampus is involved in trace, but not delay fear conditioning, two Pavlovian paradigms in which only the relative timing of stimulus presentation is varied. However, a growing literature implicates the ventral (temporal) portion of the hippocampus in the expression of fear, irrespective of prior training. The current experiments evaluated the relative contributions of the dorsal and ventral portions of the hippocampus to trace fear conditioning specifically vs. the expression of conditioned fear in general. Lesions restricted to the dorsal hippocampus blocked acquisition of trace fear conditioning. Larger lesions, also including an adjacent portion of the ventral hippocampus, were required to impair retrieval of trace fear conditioning. Delay fear conditioning was not disrupted in either case. In contrast, lesions that encompassed almost the entire dorsal and ventral hippocampus disrupted expression of both trace and delay fear conditioning. The current data suggest distinct roles in fear conditioning for three regions of the hippocampus: the septal zone is required for acquisition of trace fear conditioning, a larger portion of the hippocampus is critical for memory retrieval, and a region including the temporal zone is required for expression of both trace and delay fear conditioning. These findings are consistent with evidence suggesting the neuroanatomical and functional segregation of the hippocampus into three zones along its septal-temporal axis, (PsycINFO Database Record (c) 2012 APA, all rights reserved)",1
4,"Reports an error in the original article by M. Naguib ( Behavioral Ecology and Sociobiology, 1997[Jun], Vol 40[6], 385–393). In both the printed issue and the electronic version on the Internet, the title of this article should read: ""Ranging of songs in Carolina wrens: effects of familiarity with the song type on use of different cues.' (The following abstract of this article originally appeared in record 84-37901.) Investigated the influence of familiarity with song types on the use of either reverberation or high-frequency attenuation as cues for ranging in Carolina wrens. Ss were 19 males, of which 12 received playbacks of unfamiliar songs, and 7 received playbacks of familiar songs. Each S received 3 different playbacks: degraded (unaltered), reverberated, and high-frequency attenuated song. Results show that male Carolina wrens can use either temporal or spectral characteristics for ranging song types which they were unlikely to have heard previously. Playbacks consisting of only one song prevented Ss' close range experience with the loudspeaker, and flights beyond the loudspeaker provided direct evidence for over-assessment of distance when songs were degraded… (PsycINFO Database Record (c) 2012 APA, all rights reserved)",1
5,"Reports an error in ""Corrigendum to “are what happens next exercises and self-generated commentaries useful additions to hazard perception training for novice drivers?�<U+FFFD> [accident anal. Prevent. 54 (2013) 57–66]"" by Mark A. Wetton, Andrew Hill and Mark S. Horswill (Accident Analysis and Prevention, 2014[Jun], Vol 67, 166). The authors regret that a minor error has been discovered in Fig. 4 (“Mean change in hazard perception response times from baseline for the expert commentary, what happens next, and control conditions across immediate and delayed hazard perception tests�<U+FFFD>). The height of the bar denoting the “Immediate HPT�<U+FFFD> score for the control condition is incorrect. All other bars in the graph are correct and the error does not change the rank order of the conditions (and hence does not affect interpretation of the results). Also, the authors confirm that the error is confined to the graph itself. All data presented in the text, including relevant inferential statistics, are correct. (see record [rid]2013-11164-007[/rid]) (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)",1
6,"Reports an error in ""Boundary Spanners' Identification, Intergroup Contact, and Effective Intergroup Relations"" by Andreas W. Richter, Michael A. West, Rolf Van Dick and Jeremy F. Dawson (Academy of Management Journal, 2006 [Dec], Vol 49[6], 1252-1269). In Table 2 (page 1261), three coefficients for an interaction term are listed under the wrong model. For ""organizational identification × intergroup contact,"" the numbers -0.11, -0.23**, and -0.05 should not be listed under model 2b. These three coefficients belong under model 3. (The following abstract of the original article appeared in record [rid]2007-00845-010[/rid]). We examined the relationship between group boundary spanners' work group identification and effective (i.e., harmonious and productive) intergroup relations in 53 work groups in five health care organizations. The data suggest this relationship was moderated by boundary spanners' levels of organizational identification, thus supporting a dual identity model. Limited support was found for the moderating effect of intergroup contact. Finally, if boundary spanners displayed frequent intergroup contact and identified highly with their organization, group identification was most strongly related to effective intergroup relations. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",1
7,"Reports an error in the original article by E. L. Abel and J. H. Hannigan (Neurotoxicology and Teratology, 1995, Vol 17[4], 445–462). On page 446, the correct estimate for the incidence of fetal alcohol syndrome in the western world is 0.97 cases per 1,000. The rate for the rest of the world is 0.08 cases per 1,000. (The following abstract of this article originally appeared in record 83:17466.) Proposes an integrative heuristic model hypothesizing that certain permissive factors increase the likelihood of Fetal Alcohol Syndrome (FAS) and Alcohol related birth disorders. The model accounts for the fact that only few women who drink, give birth to babies with FAS, by positing a relationship between alcohol consumption and 4 sociobehavioral permissive factors: Alcohol intake pattern, low SES, ethnicity/culture, and smoking behavior. These factors which are external to the organism, lead to certain internal biological conditions as they provoke cellular changes which enhance alcohol""s toxic actions, such as, high peak blood levels of alcohol, poor nutritional status, increased stress and pollutants. The biologic responses include placental dysfunction, endocrine changes, and other biochemical changes… (PsycINFO Database Record (c) 2012 APA, all rights reserved)",1
8,"Reports an error in ""Process and outcome evaluation of vocational rehabilitation interventions in patients with prolonged fatigue complaints"" by Margot Joosen, Monique Frings-Dresen and Judith Sluiter (International Journal of Behavioral Medicine, 2011[Jun], Vol 18[2], 160-171). In the original article, a syntax error was identified concerning one of the secondary outcomes. The correction is given in the erratum. (The following abstract of the original article appeared in record [rid]2011-09639-010[/rid]). Background: Prolonged fatigue can cause physical, mental and occupational disability. Fatigue often persists because of a combination of biopsychosocial factors. Purpose: To evaluate the process and outcomes of three existing outpatient vocational rehabilitation interventions (VRI) in patients with prolonged fatigue complaints. The VRIs differ with regard to the content and treatment duration, enrolment procedure and financing. Method: A pre-post design was used with repeated measurements before treatment, after treatment and 3 months after treatment. Primary outcomes (fatigue and work participation) and secondary outcomes (physical and social functioning, mental health and physiological indicators (heart rate variability)) were assessed over time using linear mixed models analysis. A process evaluation (i.e. patient reach, content completeness and patient satisfaction) was conducted as well. Results: One hundred patients participated. Post-treatment, fatigue decreased (p < .001) and work participation (p < .010), physical functioning (p < .001) and mental health (p < .001) improved considerably in all three VRIs. Social functioning improved in one VRI (p = .022), but did not in the other two (p = .442, p = .196, respectively). Physiologically, heart rate variability improved in two VRIs (p = .044, p = .038, respectively). VRIs were administered according to the programme protocol. Almost all patients met their personal goals and the majority was satisfied with the outcomes of diminished constraints at work. Conclusion: Three VRIs showed significant and clinically relevant outcomes over time regarding decreased fatigue and improved functioning and work participation in fatigued patients. The VRIs administered patient-tailored biopsychosocial interventions as planned and patients were satisfied with the interventions. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",1
9,"Reports an error in the original article by P. Lorenzi (Journal of Organizational Behavior Management, 1988, Vol 9[2], 59–71). On Page 66 of that article, the last 3 lines of Table 1 contained some incorrect numbers. The corrected table is included. (For original abstract, see record [rid]1989-14388-001[/rid]). (PsycINFO Database Record (c) 2012 APA, all rights reserved)",1
10,"Reports an error in the original article by A. Compton ( Journal of the American Psychoanalytic Association, 1998[Sum], 46[3], 691–721). On page 714, in Compton's flow sheet diagram, the upper of the two boxes at lower right should contain the letters ACS. (The following abstract of this article originally appeared in record [rid]1998-12796-002[/rid].) The author of this article asserts that psychoanalysis as a profession is in difficulty because changes in the mental health field have exposed vulnerabilities inherent in psychoanalytic traditions. In this setting, scientific outcome studies of psychoanalytic treatment are a necessity. To enable such studies, certain preliminary research is required. In particular, a set of reliable diagnoses that recognize psychodynamic factors, in addition to ""descriptive"" criteria, must be developed. This paper outlines the rationale, significance, and design of a pilot study in the area of anxiety disorders, agoraphobia in particular, intended as a first step in the construction of a reliable, psychoanalytically influenced nosology and as a basis for recategorization of the currently predominant DSM system. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",1
