,x,jmw,
1,"Parents' ability to make reliable and valid reports about health service utilization is a key research design consideration for studies about the unmet needs of children and adolescents with emotional or behavioral problems. This research report addresses the validity of parents' reports, in particular, parents' rates of false-negative reporting about their children's mental health service use. Findings show that only a few parents of known service users fail to report that their child or adolescent has received services for an emotional or behavioral problem. However, when parents are asked to report about their child's service use with specific providers or in specific service settings, the rate of false-negative reporting tends to increase, and in some circumstances this increase is dramatic. Logistic regression results indicate that false-negative reporting is more likely to occur among parents whose children are male, less frequent service users, or service users whose use is less recent. After controlling for these factors, the authors did not find a significant difference in the rate of false-negative reporting for parents of Anglo and Latino children. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",0,
2,"6 cards containing 4 different letters from among the 1st 6 letters of the alphabet were presented serially to 30 Ss. After each card was shown, the experimenter stated whether the card was positive (contained code) or negative. 2 of the statements were false. The S was asked to discover the code and whether he was told the truth. The results showed that S trusted positive and confirming information rather than negative and nonconfirming information. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",0,klopt die?
3,"Background: Accurate diagnosis of Parkinson disease (PD) and other degenerative parkinsonian syndromes is important for management and prognostic purposes. Diagnosis can be challenging in early disease and in atypical cases. Methods: We reviewed the literature on the application of dopamine transporter single-photon emission computed tomography (DAT-SPECT) in degenerative parkinsonism and related disorders as a diagnostic tool. Results: The use of DAT-SPECT shows some utility in the early diagnosis of PD and differentiation from other non-degenerative parkinsonian disorders (i.e. essential tremor, dystonic tremor, drug-induced and in most cases of psychogenic parkinsonism), since it can accurately detect the presynaptic dopaminergic deficit. The test has been shown to have high sensitivity/specificity by multiple studies. DAT imaging may also have some prognostic value for disease progression. However, it has limited value in differentiating among degenerative causes of parkinsonism. DAT imaging has some limitations. In most studies, true test accuracy is unknown since the gold standard is clinical diagnosis by a movement disorders neurologist. Therefore, the sensitivity of the test cannot exceed that of the clinical diagnosis. In addition, false negative scans occur and highlight the need for clinical follow-up. Conclusion: Clinical assessment remains the most important aspect in evaluating these patients. DAT-SPECT is a sensitive modality to detect nigrostriatal degeneration. In spite of increasing data using this technique, however, more long-term clinical studies are required to determine how DAT-SPECT scan can guide decision-making. (PsycINFO Database Record (c) 2015 APA, all rights reserved). (journal abstract)",0,
4,"Studied false positive and false negative error rates for competency testing in which examinees are permitted to retake the test if they fail to pass. Formulae are provided for the beta-binomial and Rasch models, and estimates based on these 2 models are compared for several typical situations. Although Rasch estimates are expected to be more accurate than beta-binomial estimates, differences among them were not substantial in many practical situations. Under general conditions and when test retaking was permitted, the probability of making a false negative error was zero. Under the same situation, and given that an examinee is a true nonmaster, the conditional probability of making a false positive error for this examinee was one. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",0,
5,"Background: There have been many changes in clinical trials methodology since the introduction of lithium and the beginning of the modern era of psychopharmacology in 1949. The nature and importance of these changes have not been fully addressed to date. As methodological flaws in trials can lead to false-negative or false-positive results, the objective of our study was to evaluate the impact of methodological changes in psychopharmacology clinical research over the past 60 years. Methodology/Principal Findings:We performed a systematic review from 1949 to 2009 on MEDLINE and Web of Science electronic databases, and a hand search of high impact journals on studies of seven major drugs (chlorpromazine, clozapine, risperidone, lithium, fluoxetine and lamotrigine). All controlled studies published 100 months after the first trial were included. Ninety-one studies met our inclusion criteria. We analyzed the major changes in abstract reporting, study design, participants’ assessment and enrollment, methodology and statistical analysis. Our results showed that the methodology of psychiatric clinical trials changed substantially, with quality gains in abstract reporting, results reporting, and statistical methodology. Recent trials use more informed consent, periods of washout, intention-to-treat approach and parametric tests. Placebo use remains high and unchanged over time. Conclusions/Significance: Clinical trial quality of psychopharmacological studies has changed significantly in most of the aspects we analyzed. There was significant improvement in quality reporting and internal validity. These changes have increased study efficiency; however, there is room for improvement in some aspects such as rating scales, diagnostic criteria and better trial reporting. Therefore, despite the advancements observed, there are still several areas that can be improved in psychopharmacology clinical trials. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)",1,
6,"Assessed a talent-search model for identifying high-achieving elementary school students. 2,926 students in Grades 3–6 who had scored at or above the 95th percentile on standardized achievement tests or subtests completed the EXPLORE Test (N. Colangelo et al, 1994), a test designed for Grade 8 students. Subject areas included reading, English, mathematics, and science reasoning. Results show that Ss in Grades 4–6 received EXPLORE scores that were at or higher than Grade 8 norms. Distributed scores were relatively normal or only slightly skewed. Raising the percentile scores requirements on grade-appropriate tests for inclusion in above-level tests would have increased the number of false negatives more than decreasing the number of false positives. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",0,
7,"Examined 8–12.5 yr old female children who presented to a hospital emergency room with physical complaints which were later determined to be compelling evidence of sexual abuse. Cases were selected where there was no prior history, suspicion, or disclosure of abuse, and the child failed to disclose any sexual contact in the initial sexual abuse disclosure interview. These interview ""false negatives"" previously had been found to be related to caretaker biases against considering the possibility that abuse may have occurred. However, it was not clear what role, if any, individual psychological processes may have played in the false negative interviews. The present study re-located and assessed a small number of these children for dissociative and behavioral symptoms. Two non-contemporaneous comparison groups were used: (1) ""true-positive"" (i.e., disclosing) sexually abused children from the same hospital emergency room and (2) nonabused, non-psychiatric controls from the same hospital. False negative children were found to have significantly higher levels of dissociative symptoms, although they did not differ from true positives and non-abused controls on general behavioral problems. The results are consistent with an association between false negatives in sexual abuse interviews and dissociation. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",0,
8,"Exposed 576 undergraduates to a deception experiment and then gave them 1 of 3 types of awareness questionnaires (indirect, direct, and funnel). Each questionnaire type either included or did not include an orienting paragraph and saliency-control questions. The funnel questionnaire was the most accurate method of assessing awareness; it eliminated the problem of ""false negatives"" remaining in the data, and it did not identify a large number of ""false-positive awares."" The belief that an extended-funnel questionnaire will suggest too much demand characteristic awareness is challenged. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",0,
9,"The authors had previously reported a positive association between the intron 7 A218C polymorphism of the tryptophan hydroxylase (TPH) gene and bipolar-affective disorder (see record [rid]1997-38630-003[/rid]). Two subsequent studies failed to confirm this finding. Kirov et al (see record [rid]1999-00287-012[/rid]) showed no preferential A218C allele transmission in 118 parent-offspring trios and McQuillin et al (see record [rid]1999-00287-013[/rid]) failed to replicate the initial finding. Various points help to interpret these discrepancies: false-positive and false-negative results may arise in case-control association studies owing to population stratification bias; the linkage disequilibrium between the A218C polymorphism and a pathogenic functional variant in the TPH gene may not exist in the British population; higher frequency of the A allele in French patients in the original study may have caused dissimilar patient samples; the genetic validity of the ""bipolar"" phenotype is unknown, results for patients having attempted suicide reported by Kirov et al suggest that suicidal behavior may be the relevant phenotype. And finally, increasing the number of genetic markers and phenotypes tested in a single population increases the false-positive rate. (PsycINFO Database Record (c) 2013 APA, all rights reserved)",1,
10,"This study investigated whether negative outcomes constrain young children's understanding of false beliefs on morally relevant false belief tasks. Participants (3-6 year-olds, N = 71) were presented with three kinds of morally relevant false belief situations, in which the same false belief accidentally caused morally negative, positive, or neutral outcomes. In addition to identifying an actor's false beliefs, children were asked to evaluate the act itself and to justify their evaluations. The results showed that young children gave fewer correct answers under negative and neutral conditions of morally relevant false belief tasks than they did on standard false belief tasks. Even children who passed the false belief tasks were affected by morally negative outcomes in evaluating the acts, but they gave more intentional reasons to justify their evaluations than did children who did not pass these tasks. These findings suggest that identifying morally relevant false beliefs is a challenge for young children because of their bias against negative outcomes, and also due to the inherent complexity of such situations. (PsycINFO Database Record (c) 2015 APA, all rights reserved). (journal abstract)",0,
11,"Investigated how hippocampal ibotenic acid lesion affects conditioned fear. Experiments with 16 4-mo-old male mice confirm that extensive lesions localized to the hippocampus impair context-dependent learning but also show that, unlike in previous rat studies, the behavioral impairment is only partial. Furthermore, studying 2 inbred strains of mice (C57BL/6 and DBA/2) with highly different hippocampal function, it is shown that the presence or absence of a conditioned stimulus during training may influence the mouse's ability to learn complex multiple contextual stimuli in a genotype-dependent manner. It is concluded that performance at the ""context"" test may be based on complex configural (hippocampal) learning but it can also be based on a more simple elemental (non-hippocampal) learning thus leading to potentially false-negative findings in the analysis of hippocampal dysfunction. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",0,
12,"It was with great interest that we read a publication by Perry and Condillac (2003) regarding Evidence-based Practices for Children and Adolescents with Autism Spectrum Disorders, specifically the section that refers to the potential uses of screening instruments such as the Pervasive Developmental Disorders Screening Test. We performed a short literature search and located a pivotal article by Bryson, Rogers, and Fombonne (2003) which pointed out that very few PDD screens including the PDDST have been subjected to rigorous evaluation of their specificity and sensitivity. Next, we performed an informal content analysis of the PDDST-II and found that a number of the items are prone to confound by ADHD presentation. Lastly, on the basis of the foregoing information, we decided not to screen for PDD at all but to accept all referrals wherein a suspicion of ASD exists (thus eliminating the problem of false negatives). (PsycINFO Database Record (c) 2013 APA, all rights reserved)",0,
13,"The theory of reasoned action (TRA) was used to estimate adolescents' vulnerability to inhalant abuse, operationalized by intentions to use or avoid inhalants. The model correctly differentiated 78% of all respondents (N = 596). A second analysis highlighted variables that discriminated properly identified from misclassified youth. False positives, those defined as being at-risk, but who repudiated inhalants, were significantly less likely than their at-risk peers to have used inhalants; they used inhalants and marijuana less frequently; were monitored more closely by parents; and were less rebellious (all p < .05). False negatives, defined as not at-risk, but who had not unequivocally rejected inhalants, were significantly more likely than their similarly classed peers to have used inhalants and marijuana, and to have used both more frequently; also, they were less highly acculturated. This study reaffirmed the utility of the TRA and underscored factors that might improve classification accuracy. This approach may facilitate prevention efforts, and may be extrapolated to any context in which risk categorization is used as a basis for prevention or amelioration. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)",0,
