"";"x"
"1";"Purpose: To assess the effects of dexmedetomidine on the duration of sensory and motor block, postoperative analgesia, hypotension, bradycardia, and side effects in patients undergoing spinal anesthesia. Methods: Two researchers searched MEDLINE, EMBASE, and the Cochrane controlled trial register independently for randomized controlled trials comparing dexmedetomidine with a placebo without any language restrictions. Results: A total of 412 patients from eight trials were included in this study. The results revealed that dexmedetomidine was statistically significant in prolonging the duration of sensory block (mean difference, MD = 73.55; 95% CI, [55.69, 91.40] P < 0.00001, I² = 89%) and motor block (MD = 59.11; 95% CI, [29.58, 88.65] P < 0.00001, I² = 91%) and the time to first request for postoperative analgesia (MD = 245.77, 95% CI, [143.53, 348.00] P < 0.00001, I² = 98%). The occurrence of hypotension (OR = 0.60, 95% CI, [0.3–1.23], P = 0.40, I² = 3%) and side effects (OR = 0.9, 95% CI, [0.36–2.22], P = 0.88, I² = 0%) was not significantly different between dexmedetomidine and placebo. However, dexmedetomidine was associated with more frequent bradycardia requiring atropine (OR = 7.55; 95% CI, [2.76–20.63], P = 0.63, I2 = 0%). Conclusions This meta-analysis has shown that dexmedetomidine prolonged the duration of spinal anesthesia and improved postoperative analgesia and did not increase the incidence of hypotension and adverse events, but needs more atropine to reverse bradycardia. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)"
"2";"Previous studies examining the possible role of the methylenetetrahydrofolate reductase (MTHFR) polymorphisms in the development of schizophrenia (SZ) and bipolar disorder (BPD) have provided inconclusive findings, this meta-analysis was therefore designed to get a more reliable assessment. A total of 38 articles were identified through a search of electronic databases, up to 27 February 2014. Odds ratios (ORs) with 95 % confidence interval (CIs) were calculated using random effects models. Meta-analysis showed that MTHFR C677T was significantly associated with SZ, the highest OR was found for the recessive model (for TT vs. CT + CC: OR = 1.34, 95 % CI: 1.18–1.53); a marginal association of MTHFR C677T with increased risk of BPD has also been found for the recessive model (OR = 1.26, 95 % CI: 1.00–1.59). Subgroup analysis by ethnicity indicated that the significant association with SZ and BPD existed among Asian and African populations, but not for the white. MTHFR A1298C was significant associated with SZ, the highest OR for the dominant model (OR = 1.13, 95 % CI: 1.03–1.24). Subgroup analysis indicated a significant association with SZ existed in Asian populations, not among the white populations and no significant association was detected between the MTHFR A1298C and BPD in all groups. We conclude that MTHFR polymorphism is associated with SZ and BPD among Asian, African populations, but not the white. (PsycINFO Database Record (c) 2015 APA, all rights reserved). (journal abstract)"
"3";"Tested reports in international literature on the efficacy of carbamazepine (CBZ) in children with attention deficit hyperactivity disorder (ADHD) features through a meta-analysis. Out of 29 reports that dealt with CBZ with regard to behavior problems, activity level, and CBZ in children, 7 open studies and 3 double blind placebo controlled studies provided sufficient information for meta-analysis. These were coded for 13 characteristics, including S demographics, diagnostic features, study design, medication, and side-effects. Therapeutic responses were significant in the open studies. There was a positive correlation between duration of treatment and positive outcome. The remaining 3 studies show that CBZ was significantly more effective than placebo at controlling target symptoms. It is concluded that despite the lack of attention to CBZ, there is preliminary evidence that it may be an effective alternate treatment in children with ADHD. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"4";"Background: Obstructive sleep apnea (OSA), caused by the obstruction of the upper airway, is the most common type of sleep apnea. Continuous positive airway pressure (CPAP) and positional therapy have been shown to be effective to improve positional OSA. Aim: To compare the effectiveness of positional therapy versus CPAP on positional OSA. Methods: Prospective randomized trials were systematically searched from the OVID databases. The trials comparing positional therapy versus CPAP in patients with positional OSA were included. Apnea-hypopnea index (AHI), mean oxygen saturation level, arousal index, sleep efficiency, and sleep time were the outcomes of this meta-analysis. Results: Three crossover trials were identified from Canada, New Zealand, and United States from 1999 to 2010. A total of 71 patients were randomly assigned to receive CPAP or positional therapy and the mean age of patients was 51 y. Positional therapy showed higher AHI (mean difference, MD: 4.28, 95% CI: 0.72–7.83) and lower oxygen saturation level (MD: −1.04, 95% CI: −1.63 to −0.46) than CPAP. It showed no distinct advantage over CPAP in terms of arousal index, sleep efficiency, and total sleep time, but CPAP reduced sleep time in the supine position. Conclusion: CPAP is superior to positional therapy in reducing the severity of sleep apnea and increasing the oxygen saturation level in patients with positional OSA. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)"
"5";"Comments on an article by Rob B. Briner & Denise M. Rousseau (see record [rid]2011-04912-002[/rid]). Briner and Rousseau's characterization of a systematic review as a penultimate procedure for evidence-based practice in applied psychology is misleading in that a systematic review is likely to unnecessarily discard useful data leading to potentially erroneous conclusions that can adversely affect workers, organizations, and the public. Furthermore, although there is much to like about Briner and Rousseau's identification of shortcomings in some current efforts to generate cumulative knowledge within practice-oriented domains of applied psychology, their discussion confounds the usefulness of meta-analysis as a research methodology with researchers' use of meta-analytic methods. This distinction between methodology and methodologist is important, as current meta-analytic methodology, along with some of the recommendations in Briner and Rousseau's commentary, has considerable potential for advancing evidence-based practice beyond that of the so-called systematic review. Slavin's notion of a ""best-evidence synthesis"" that combines the optimal features of meta-analysis with qualitative data and varied stakeholder input would appear to still provide the most promising means for generating ""best evidence"" and ""best practice"" in applied psychology. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"6";"The authors conducted a meta-analysis of C. E. Rusbult's Investment Model of commitment. Across 52 studies, including 60 independent samples and 11,582 participants, satisfaction with, alternatives to, and investments in a relationship each correlated significantly with commitment to that relationship. Moreover, these three variables collectively accounted for nearly two-thirds of the variance in commitment. Commitment, in turn, was found to be a significant predictor of relationship breakup. Support for the model was obtained in predicting commitment in both relational domains (e.g., commitment to a romantic partnership) and nonrelational domains (e.g., commitment to one's job), but was significantly stronger in relational domains. Additional moderator analyses suggested that the associations between commitment and its theorized bases vary minimally as a function of demographic (e.g., ethnicity) or relational (e.g., duration) factors. The authors review theoretical strengths and shortcomings of the Investment Model and identify directions for future research. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"7";"Background: Depression is a major burden for the health-care system worldwide. Most care for depression is delivered by general practitioners (GPs). We assessed the rate of true positives and negatives, and false positives and negatives in primary care when GPs make routine diagnoses of depression. Methods: We undertook a meta-analysis of 118 studies that assessed the accuracy of unassisted diagnoses of depression by GPs. 41 of these studies were included because they had a robust outcome standard of a structured or semistructured interview. Findings: 50,371 patients were pooled across 41 studies and examined. GPs correctly identified depression in 47.3% (95% CI 41.7% to 53.0%) of cases and recorded depression in their notes in 33.6% (22.4% to 45.7%). 19 studies assessed both rule-in and rule-out accuracy; from these studies, the weighted sensitivity was 50.1% (41.3% to 59.0%) and specificity was 81.3% (74.5% to 87.3%). At a rate of 21.9%, the positive predictive value was 42.0% (39.6% to 44.3%) and the negative predictive value was 85.8% (84.8% to 86.7%). This finding suggests that for every 100 unselected cases seen in primary care, there are more false positives (n=15) than either missed (n=10) or identified cases (n=10). Accuracy was improved with prospective examination over an extended period (3–12 months) rather than relying on a one-off assessment or case-note records. Interpretation: GPs can rule out depression in most people who are not depressed; however, the modest prevalence of depression in primary care means that misidentifications outnumber missed cases. Diagnosis could be improved by re-assessment of individuals who might have depression. (PsycINFO Database Record (c) 2015 APA, all rights reserved). (journal abstract)"
"8";"Numerous international studies have been completed on the issue of personality differences between spiritual and religious people, although none of these studies have ever been conducted in Italy. More specifically, two tools have been used to analyse these differences: the Big Five Questionnaire (Caprara, Barbaranelli, Borgogni, 1993) and the RAS—Scala di Atteggiamento Religioso (Religious Attitude Scale) (Laudadio, Baumgartner, D'Alessio, in press), which were administered to a sample of 3,019 people (52.26% females) with an average age of 40. The analyses confirm a relationship between the dimensions of ""Personality"", ""Religiosity"" and ""Spirituality"". The cluster analysis shows that ""Religious Believers"" are more 'Conscientious' and 'Friendly' but less 'Energetic' and 'Emotionally Stable' compared to the other two groups. This result is in line with what has been shown by Saregleu (2002) in the conclusion of his meta-analysis. Numerous gender differences have been observed regarding the relationship between these two constructs and certain features, which may be attributable to the specific characteristics of Italians in relation to the dimensions of ""spirituality"" and ""religiosity"". (PsycINFO Database Record (c) 2013 APA, all rights reserved). (journal abstract)"
"9";"Previous studies suggest that physical activity may be protective for dementia and cognitive impairment. We report findings comparing leisure-time and work-related physical activity from the Caerphilly Prospective study (CaPS) with dementia and cognitive impairment not dementia (CIND) after around 16 years of follow-up. We synthesized our results with a meta-analysis specifically testing if length of follow-up was associated with the size of any association. Age-adjusted models found no real association with dementia, and if anything increased risk for CIND (odds ratio (OR) highest versus lowest tertile 2.61, 95% CI 1.58 to 4.31), though this was attenuated after adjustment for other confounders (OR highest versus lowest tertile 1.38, 95% CI 0.78 to 2.44). There was no evidence that this differed by type (vascular versus non-vascular) of cognitive disease. Meta-analysis of other published effect estimates showed a protective effect of physical activity on cognitive impairment (OR 0.66, 95% CI 0.52 to 0.85) but with significant heterogeneity which was partially explained by length of follow-up (p = 0.03). A protective association was also seen for dementia (OR 0.78, 95% CI 0.65, 0.94), which did not appear to be related to follow-up length but there was evidence of small study bias (p = 0.002) suggesting an absence of small null studies. The apparent protective effects of physical activity on cognitive health may partially reflect reverse causation and current estimates may be overly optimistic in terms of cognitive benefits. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"10";"Attachment theory suggests that children’s attachment insecurity plays a key role in the development of anxiety. In the present study we evaluated the empirical evidence for the link between insecure attachment and anxiety from early childhood to adolescence. A meta-analysis of 46 studies, from 1984 to 2010, including 8,907 children, was conducted. The results show an overall effect size of r = .30, indicating that attachment is moderately related to anxiety. Moderator analyses indicated that ambivalent attachment showed the strongest association with anxiety. Further, the relation was stronger during adolescence, when attachment and anxiety were measured through questionnaires, when the informant was the child, when attachment was measured as internal working model, in cross-sectional studies, and in studies conducted in Europe. No difference was found between studies that measured anxiety as symptoms or as a disorder, and when different kinds of anxiety were considered. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)"
