"";"x"
"1";"The neuroscientific investigation of sex differences has an unsavoury past, in which scientific claims reinforced and legitimated gender roles in ways that were not scientifically justified. Feminist critics have recently argued that the current use of functional neuroimaging technology in sex differences research largely follows that tradition. These charges of â€˜neurosexismâ€™ have been countered with arguments that the research being done is informative and valuable and that an over-emphasis on the perils, rather than the promise, of such research threatens to hinder scientific progress. To investigate the validity of these contrasting concerns, recent functional magnetic resonance imaging (fMRI) investigations of sex differences and citation practices were systematically examined. In line with the notion of neurosexism, the research was found to support the influence of false-positive claims of sex differences in the brain, to enable the proliferation of untested, stereotype-consistent functional interpretations, and to pay insufficient attention to the potential plasticity of sex differences in both brain and mind. This, it is argued, creates a literature biased toward the presentation of sex differences in the brain as extensive, functionally significant, and fixedâ€”and therefore implicitly supportive of a gender essentialist perspective. It is suggested that taking feminist criticisms into account would bring about substantial improvement in the quality of the science, as well as a reduction in socially harmful consequences. (PsycINFO Database Record (c) 2013 APA, all rights reserved). (journal abstract)"
"2";"Discusses criteria for use in determining eligibility for prenatal Down's syndrome (DS) testing. The authors comment on the article by N. J. Wald et al (see record [rid]1999-03900-001[/rid]) which describes an integrated test for first- and second-trimester DS screening. The authors find the method of Wald et al clinically and ethically troubling since the pregnant woman would not be informed of the heightened risk during the first trimester and not be given the option to terminate at that time. The costs to be considered in deciding which screening tests for DS should be offered to pregnant women are discussed, including economic costs, miscarriage rates, and false positive results. The authors favor a stepwise approach when advising women on screening for DS. The first test is a careful measurement of nuchal translucency and measurements of serum pregnancy-associated plasma protein A and the free beta subunit of human chorionic gonadotropin at 10â€“14 wks. If an increased risk of DS is found, the woman would have the option of undergoing chorionic-villus sampling then or amniocentesis later. If no risk is found, other options would still be available. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"3";"In studies of clinical depression, individuals who demonstrate elevated levels of symptoms but do not meet interview-based diagnostic criteria are typically labeled as false positive and eliminated from further consideration. However, the implicit assumption that false-positive participants differ in important ways from true-positive (i.e., diagnosed) participants has not been tested systematically. This study compared the functioning of true-positive, false-positive, and true-negative adolescents on clinical and psychosocial functioning. Although the false-positive participants manifested higher levels of current and future psychopathology than did the true-negative participants, they did not differ significantly from the true-positive participants on most of the measures of psychosocial dysfunction. ""False positive,"" therefore, is not a benign condition. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"4";"The prevalence and recognition of depression among physically frail patients living in an urban Dutch nursing home were estimated. The Geriatric Depression Scale (GDS) was administered to 80 patients with Mini-Mental-Status-Examination (MMSE) scores of 15 or above. With this screen clinically relevant depressive symptoms can be established. For diagnosing major depression according to the Diagnostic and Statistical Manual of Mental Disorders-IV (DSM-IV) criteria, the Diagnostic Interview Schedule (DIS) was administered to 57 patients using a MMSE cut-off of 20. 49% of the respondents showed a score above the GDS cut-off (> 11), which means having clinically relevant depressive symptoms. 16% met the criteria for major depression according to DIS. Nursing home physicians recognized 39% of the patients with clinically relevant depressive symptoms and 67% of those with a major depression. Nurses recognized depressive patients slightly better but they were less specific in their judgment (more false-positive rates). It was also found that in situations in which physicians and nurses had the same opinion the recognition of depression improved. Therefore, it is recommended that physicians and nurses exchange their judgments on patients' mood on a regular basis. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"5";"Administered the dexamethasone suppression test (DST) to 30 nondepressed diabetic patients (aged 18â€“75 yrs) to investigate the specificity of the DST as a test for major depression. Age-matched control groups were composed of 23 male Ss (aged 16â€“78 yrs) and 35 female Ss (aged 16â€“73 yrs) with no known psychiatric disorder. Diabetic Ss had both a significantly greater prevalence of nonsuppressed responses and of mean plasma cortisol level when compared with findings in normal controls at 4 PM the day after administration of dexamethasone. Thus, as a diagnostic test for major depression, the DST seems to yield a high rate of falseâ€“positive responses among diabetics, and hence its results must be interpreted with caution in these patients. (24 ref) (PsycINFO Database Record (c) 2013 APA, all rights reserved)"
"6";"Introduction: Diagnosis of facioscapulohumeral dystrophy type 1 (FSHD1) is supported by a suggestive clinical presentation and associated with a heterozygous contraction of the D4Z4 repeat array on chromosome 4q35. State of the art: The FSHD1 phenotype has a widely variable course with great inter- and intrafamilial heterogeneity. Three clinical forms can be distinguished: the classical phenotype associated with four to seven repeat units (RU) and a variable course, a severe infantile form with one to three RU, and a mild phenotype associated with borderline UR (8 to 10 RU). At the molecular level, for D4Z4 contraction to be pathogenic, it needs to occur on a specific chromosomal background, namely on the 4qA allelic variant of chromosome 4. In most cases, once FSHD is clinically suspected, the diagnosis can be genetically confirmed with a DNA test using Southern Blotting and hybridization to a set of probes. However, diagnosis of FSHD1 remains challenging. Firstly, some patients may present with an atypical phenotype with highly focal or unusual symptoms. Secondly, there are potential pitfalls in the genetic diagnosis of FSHD resulting in false positive or false negative results. In the absence of genetic confirmation, other investigations, mainly EMG and muscle biopsy, are needed to rule out another diagnosis. In cases with no clear diagnosis and a permissive chromosome without contraction, FSHD2 may be suspected. Perspectives: Molecular combing is a new technique which permits visualization and sizing of the D4Z4 repeat array on its genetic background on stretched single DNA fibers by fluorescence microscopy. This tool will improve genetic diagnosis in FSHD patients. Conclusion: Diagnosis of FSHD1 is mainly supported by clinical features. Clinicians need to be aware of unusual presentations of this disease. The wide spectrum of intrafamilial variability and the lack of good correlation between genotype and phenotype present challenges for genetic counseling and prognostication. More studies are needed concerning penetrance and genotypeâ€“phenotype correlation. (PsycINFO Database Record (c) 2013 APA, all rights reserved). (journal abstract)"
"7";"Background: The advent of Internet-based self-help systems for common mental disorders has generated a need for quick ways to triage would-be users to systems appropriate for their disorders. This need can be met by using brief online screening questionnaires, which can also be quickly used to screen patients prior to consultation with a GP. Objective: To test and enhance the validity of the Web Screening Questionnaire (WSQ) to screen for: depressive disorder, alcohol abuse/dependence, GAD, PTSD, social phobia, panic disorder, agoraphobia, specific phobia, and OCD. Methods: A total of 502 subjects (aged 18-80) answered the WSQ and 9 other questionnaires on the Internet. Of these 502, 157 were assessed for DSM-IV-disorders by phone in a WHO Composite International Diagnostic Interview with a CIDI-trained interviewer. Results: Positive WSQ â€œdiagnosisâ€<U+FFFD> had significantly (P < .001) higher means on the corresponding validating questionnaire than negative WSQ â€œdiagnosisâ€<U+FFFD>. WSQ sensitivity was 0.72-1.00 and specificity was 0.44-0.77 after replacing three items (GAD, OCD, and panic) and adding one question for specific phobia. The Areas Under the Curve (AUCs) of the WSQâ€™s items with scaled responses were comparable to AUCs of longer questionnaires. Conclusions: The WSQ screens appropriately for common mental disorders. While the WSQ screens out negatives well, it also yields a high number of false positives. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"8";"Analyzed the episodic and semantic memory of 32 adults with probable Alzheimer's disease (AD), 18 adults with Parkinson's disease (PD), and 23 56â€“81 yr old normal controls to evaluate possible differences in memory dysfunction. Both AD and PD groups committed more prior-story and extra-list intrusion errors (IEs), but AD Ss committed more extra-story IEs. Also, AD Ss made more extra-list IEs and recognized more false positive targets than PD Ss. AD and PD Ss seem to have different patterns of memory dysfunction. AD Ss seem unable to inhibit irrelevant information and to have increased sensitivity to interference, whereas the deficits of PD Ss seem to reflect only a sensitivity to proactive interference. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"9";"Background: Clinical research has developed slowly in most academic hospitalist programs, possibly because of a failure to recognize the important role of specialists in the diagnosis and management of complex medical patients as well as their expertise in clinical research. Ideally, a successful hospital-based clinical research program will need to partner hospitalists with specialists. Purpose: The University of Michigan's Specialist-Hospitalist Allied Research Program (SHARP) was designed to jumpstart hospital-based clinical and translational research at a major academic medical center by pairing specialists and hospitalists to ask and answer novel research questions. Description: SHARP is co directed by a hospitalist and a sub specialist and includes key personnel such as a hospitalist investigator, a clinical research nurse, a research associate, and a clinical epidemiologist. The program is guided by an oversight committee that includes institutional research leadership. Two initial projects have already been supported. The first, a collaboration between infectious disease specialists and hospitalists, is a prospective trial of antiseptic agents and techniques to reduce false-positive blood cultures. The second pairs geriatricians and clinical pharmacists with hospitalists to prospectively study techniques to reduce medication errors around the time of hospital discharge. Although initial pilot projects are single-institution studies, SHARP'S goal is to expand its clinical research to include multicenter investigation. Metrics to evaluate SHARP include the number of successfully completed projects, extramural grants submitted and funded, and peer-reviewed publications. Conclusion: A successful hospital-based clinical research program combines hospitalists and specialists in a collaborative environment to identify optimal strategies for delivering inpatient care. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"10";"Aims and objectives. To explore coping with the perceived psychosocial consequences of a falseâ€<U+FFFD>positive screening mammography. Background. Mammographic screening has been found effective to decrease breast cancer (BC) mortality, yet there are adverse effects. Psychosocial consequences of falseâ€<U+FFFD>positive mammographic screening have mainly been investigated from a populationâ€<U+FFFD>based perspective. A call for qualitative studies to further explore these consequences has thus been postulated. To date, qualitative studies have elucidated women's experiences following their recall breast examinations, but their coping with perceived psychosocial consequences of a falseâ€<U+FFFD>positive screening mammography has not yet been explored. Design. An explorative qualitative study. Methods. Faceâ€<U+FFFD>toâ€<U+FFFD>face interviews were held with a purposive heterogeneous sample of 13 Swedishâ€<U+FFFD>speaking women with a falseâ€<U+FFFD>positive screening mammography. The transcripts were analysed by the use of an inductive content analysis. Results. Coping with the perceived psychosocial consequences of a falseâ€<U+FFFD>positive screening mammography implied a roller coaster of emotion and sense. Women described how they imagined the worst and were in a state of uncertainty feeling threatened by a fatal disease. Conversely, they felt protected, surrounded by their families and being professionally taken care of, which together with perceived sisterhood and selfâ€<U+FFFD>empowerment evoked strength and hope. Being aware of family responsibility became a crucial matter. Experiencing falseâ€<U+FFFD>positive screening raised thoughts of thankfulness and reappraisal of life, although an ounce of BC anxiety remained. Consequently, gained awareness about BC screening and values in life surfaced. Conclusions. Experiencing a falseâ€<U+FFFD>positive screening mammography triggers agonising experiences evoking a variety of coping strategies. Provision of screening raises the issue of responsibility for an impact on psychosocial wellâ€<U+FFFD>being among healthy women. Relevance to clinical practice. Gained knowledge might provide a basis for interventions to prevent psychosocial consequences of falseâ€<U+FFFD>positive mammographic screening and provide support for women with a potentially compromised ability to overcome such consequences. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)"
