"";"x"
"1";"Background: Persons with intellectual disabilities (ID) often show challenging behaviour. We review distinct interventions that are applied to treat these challenging behaviours, and analyse intervention effects and moderating variables. Methods: A literature search was conducted using the databases ERIC, PsycINFO, Web of Science and Medline. A random-effects meta-analysis was carried out, supplemented with sensitivity, subgroup, meta-regression and publication bias analyses. Results: Eighty potential articles were identified, from which 30 contained sufficient data to enable statistical meta-analysis. From these 30 studies, 18 described a biological, 13 a psychotherapeutic and nine a contextual intervention, either applied alone or combined. The overall standardised mean difference was 0.671 (SD = 0.051). As shown by sensitivity analysis, this summary effect size is robust. Assessed through subgroup and meta-regression analysis, all tested moderators showed no statistically significant association with the treatment effects. After applying a funnel plot-, a fail-safe N-, and Duval's and Tweedie's trim and fill-analysis, we conclude that our meta-analysis does not suffer much from publication bias effects. Conclusions: Several biological, psychotherapeutic and contextual interventions effectively reduce challenging behaviours among persons with ID. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"2";"Individual differences in the cardiovascular response to stress play a central role in the reactivity hypothesis linking frequent exposure to psychosocial stress to adverse outcomes in cardiovascular health. To assess the importance of genetic factors, a meta-analysis was performed on all published twin studies that assessed heart rate (HR) or blood pressure (BP) reactivity to the cold pressor test or various mental stress tasks. For reactivity to mental stress, the pooled heritability estimate ranged from 0.26 to 0.43. Reactivity to the cold pressor test yielded heritability estimates from 0.21 to 0.55. An ensuing review of genetic association studies revealed a number of genes, mostly within the sympathoadrenal pathway, that may account for part of the heritability of cardiovascular stress reactivity. Future progress in gene finding, that should include measures of sympathetic and vagal stress reactivity, may help uncover the molecular pathways from genetic variation to stress reactivity. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"3";"Settles a discrepancy between the results of a meta-analysis that found calcium to be highly effective in preventing preeclampsia and the large placebo-controlled multicenter 1997 trial of the National Institute of Health Calcium for Preeclampsia Prevention's CPEP trial which found no reduction of preeclampsia risk in healthy nulliparous women due to calcium supplementation. The article also assesses the role of effect heterogeneity in the discrepancies. The authors use all available trials of calcium supplementation for the prevention of preeclampsia published prior to the CPEP trial. The authors reanalyzed the data, focusing attention on issues relevant to effect heterogeneity and understanding its sources. Their results remain consistent with the null hypothesis of no reduction in preeclampsia risk due to calcium supplementation in healthy low-risk populations. For healthy high-risk S populations, however, the results imply a beneficial calcium effect. The authors conclude that a random model cannot cure all levels of heterogeneity, especially when underlying heterogeneity is not minimal. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"4";"Assessed whether the oxytocin receptor (OXTR) gene increased susceptibility to schizophrenia using case-control and family-based analyses and meta-analysis. The results showed that although rs9840864 was tentatively associated with schizophrenia, the present study did not provide supportive evidence for the contribution of OXTR to susceptibility to schizophrenia. The authors suggest that to draw a definitive conclusion, further studies using larger sample sizes should be carried out in a range of ethnic populations. (PsycINFO Database Record (c) 2013 APA, all rights reserved)"
"5";"This article is about biochemical evidence of exposure to secondhand smoke (SHS). It is well known that tobacco use leads to disease, and that SHS exposure is also harmful; indeed, there is no known safe level of exposure. According to the most recent estimates from the World Health Organization. 600,000 people worldwide die prematurely every year of exposure to SHS. Of these deaths attributable to SHS, 28% occur in children. This number excludes the millions of children worldwide who experience morbidity from SHS exposure. The harmful effects of SHS are found, with in utero exposure associated with changes in arterial structure and distensibility in early childhood. Whether this difference persists is not known, but it suggests that the vascular changes that lead to cardiovascular disease can be traced to parental smoke exposure. A study provides more piece of evidence for the importance of smoking cessation, in particular, among families with young children and those planning to have children. A meta-analysis of published intervention trials that were designed to protect children from tobacco smoke exposure through parental cessation or modification of parental smoking patterns. We can see that the effects of SHS may go deeper, and linger longer, than we had previously understood. We must use the evidence available to help motivate adults to change their smoking behavior to protect their children and others from the harms of SHS and increase their efforts to quit. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"6";"Examined assertions by A. A. Stone et al (see record [rid]1988-00652-001[/rid]) regarding the use of secretory immunoglobulin A (S-IgA) concentrations in whole saliva as a measure of mucosal immune competence. Results of a meta-analysis show a significant relationship between psychosocial variables and salivary S-IgA concentrations. Meta-analysis also suggests a statistically significant relationship between S-IgA salivary concentrations and the incidence of acute upper respiratory illnesses. It is concluded that there is no empirical evidence or logical reason to prefer the measurement of another aspect of immunity to total S-IgA concentration in whole saliva. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"7";"The efflux pump P�<U+FFFD>glycoprotein (P�<U+FFFD>gp), a gene product of the ABCB1 gene, plays a pivotal role in the transfer of various molecules across the blood–brain barrier. P�<U+FFFD>gp protects the brain by selectively extruding its substrates, including certain antidepressive drugs, thereby limiting their uptake into the brain. Uhr et al. [2008] first showed that ABCB1 variants predicted the remission to antidepressants with P�<U+FFFD>gp substrate properties in patients suffering from major depression (MD). Other studies investigating the influence of ABCB1 polymorphisms on antidepressant treatment response produced inconclusive results. In this meta�<U+FFFD>analysis, we systematically summarized 16 pharmacogenetic studies focused on the association of ABCB1 variants and antidepressant treatment outcome in patients with MD (overall n = 2695). We investigated the association of treatment outcome and six ABCB1 single nucleotide polymorphisms (SNPs): rs2032583, rs2235015, rs2235040, rs1045642, rs2032582, rs1128503. We stratified for admission status, ethnicity, and prescription of concomitant medication. SNP rs2032583 showed a nominally significant association across all studies (P = 0.035, SNP was studied in a total of 2,037 patients) and a significant Bonferroni�<U+FFFD>corrected association among inpatients (P = 1.5 × 10−05, n = 485). Also SNP rs2235015 was significantly associated with antidepressant treatment outcome withstanding Bonferroni correction (P = 3.0 × 10−04) among inpatients in a smaller subsample (n = 195). There were no significant associations of the other SNPs tested with antidepressant treatment outcome. Future pharmacogenetic association studies should focus on the role of the ABCB1 SNP rs2032583 in antidepressant outcome prediction. (PsycINFO Database Record (c) 2015 APA, all rights reserved). (journal abstract)"
"8";"Making sense of a neuroimaging literature that is growing in scope and complexity will require increasingly sophisticated tools for synthesizing findings across studies. Meta-analysis of neuroimaging studies fills a unique niche in this process: It can be used to evaluate the consistency of findings across different laboratories and task variants, and it can be used to evaluate the specificity of findings in brain regions or networks to particular task types. This review discusses examples, implementation, and considerations when choosing meta-analytic techniques. It focuses on the multilevel kernel density analysis (MKDA) framework, which has been used in recent studies to evaluate consistency and specificity of regional activation, identify distributed functional networks from patterns of co-activation, and test hypotheses about functional cortical-subcortical pathways in healthy individuals and patients with mental disorders. Several tests of consistency and specificity are described. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"9";"Background: The late onset of therapeutic response and a relatively large proportion of nonresponders to antidepressants remain major concerns in clinical practice. Therefore, there is a critical need for effective medication strategies that augment treatment with antidepressants. Methods: To review the available evidence on the use of lithium as an augmentation strategy to treat depressive episodes. Results: More than 30 open-label studies and 10 placebo-controlled double-blind trials have demonstrated substantial efficacy of lithium augmentation in the acute treatment of depressive episodes. Most of these studies were performed in unipolar depression and included all major classes of antidepressants, however mostly tricyclics. A meta-analysis including 10 randomized placebo-controlled trials has provided evidence that lithium augmentation has a statistically significant effect on the response rate compared to placebo with an odds ratio of 3.11, which corresponds to a number-needed-to-treat of 5. The meta-analysis revealed a mean response rate of 41.2% in the lithium group and 14.4% in the placebo group. One placebo-controlled trial in the continuation treatment phase showed that responders to acutephase lithium augmentation should be maintained on the lithium-antidepressant combination for at least 12 months to prevent early relapses. Preliminary studies to assess genetic influences on response probability to lithium augmentation have suggested a predictive role of the –50T/C single nucleotide polymorphism of the GSK3β gene. Conclusion: Augmentation of antidepressants with lithium is currently the best-evidenced augmentation therapy in the treatment of depressed patients who do not respond to antidepressants. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"10";"Both clinicians and researchers have long known that the majority of depressed patients do not achieve or sustain a complete recovery from their disorders on most therapies. This has led to anecdotal reports and to clinical trials that suggest a broad range of interventions involving some combination of medications. The Sequenced Treatment Alternatives to Relieve Depression study examined response to treatment in a large sample of 3,671 patients with major depressive disorder. The patients were those typically encountered in primary care and psychiatry settings. The study found that even after 12-14 weeks of adequately dosed citalopram, only 37% of the patients achieved remission. The study indicates that most patients will require additional treatments. The common choices after initial treatment failure are to switch to another antidepressant, add a second antidepressant start psychotherapy or augment with a compound not approved for use as an antidepressant. Many different compounds have been used for augmentation including stimulants, modafinil, buspirone, pindolol, estrogen, and testosterone. Few controlled studies of these agents have been performed, and with the exception of a single modafinil study the controlled studies have failed to show an advantage for augmentation with these agents. Thyroid augmentation has been more extensively studied. Reviews and meta-analyses indicate thyroid augmentation does accelerate response but the placebo-controlled trials in resistant depression fail to show an advantage. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
