"";"x"
"1";"Regression models for functional responses and scalar predictors are often fitted by means of basis functions, with quadratic roughness penalties applied to avoid over fitting. The fitting approach described by Ramsay and Silverman in the 1990s amounts to a penalized ordinary least squares (P-OLS) estimator of the coefficient functions. We recast this estimator as a generalized ridge regression estimator, and present a penalized generalized least squares (P-GLS) alternative. We describe algorithms by which both estimators can be implemented, with automatic selection of optimal smoothing parameters, in a more computationally efficient manner than has heretofore been available. We discuss point wise confidence intervals for the coefficient functions, simultaneous inference by permutation tests, and model selection, including a novel notion of point wise model selection. P-OLS and P-GLS are compared in a simulation study. Our methods are illustrated with an analysis of age effects in a functional magnetic resonance imaging data set, as well as a reanalysis of a now-classic Canadian weather data set. An R package implementing the methods is publicly available. (PsycINFO Database Record (c) 2013 APA, all rights reserved). (journal abstract)"
"2";"R. F. Baumeister and A. Steinhilber's (see record [rid]1984-31312-001[/rid]) provocative, widely accepted analysis proposed that professional sports teams play unusually badly (choke) under the pressure created by their home fans and perform poorly in decisive home games of championship series. However, a reanalysis of the data, including the results of recent championships in baseball and basketball, finds no evidence of a home-field championship choke. The home field is an advantage, and the home team wins about as often late as early in championship series. Teams show an ability to triumph over pressure in asymmetrical ""must-win"" situations late in championship series. When choking occurs, it is associated with the anticipation of an important failure, not the distractions of possible success as suggested by Baumeister and Steinhilber. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"3";"Researchers occasionally perform a statistical test for gains on 2 groups separately, and compare the results via significance for the 2 tests. While that procedure is incorrect statistically, there is a statistical test created by K. B. Ghosh (1975) that allows comparison of the difference between 2 independent t-distributed variables. It is presented here with a reanalysis of an incorrect result presented by S. Levy (see record [rid]1982-08876-001[/rid]) for the PPVT. (2 ref) (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"4";"The study investigated whether the P600/SPS component is sensitive to the richness of semantic content in sentences. ERPs were recorded while 30 native Swedish speakers read sentences, of which half were syntactically correct and half contained a syntactic violation. Both kinds of sentences came in one of three types of descending semantic completeness: semantically coherent sentences, sentences which were incoherent due to violations of selectional restrictions, or sentences of pseudo words, hence void of lexical content. In the semantically coherent sentences a P600/SPS was found for the syntactic violation. A less salient positivity was found for the violation in the semantically incoherent sentences. No P600/SPS was found for the syntactic violation in the pseudo word sentences and no LAN component in any sentence type. The results are interpreted as supporting the hypothesis that the P600/SPS component reflects a semantically based reanalysis process. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"5";"[Retraction notice: A retraction for this article was reported in Vol 17(1) of Developmental Science (see record [rid]2013-44443-015[/rid]). The original article, has been retracted by agreement between the authors, the journal Editors in Chief, Michelle De Haan and Charles Nelson and John Wiley & Sons Limited. The authors determined that the looking time coding performed by the first author, N. Mahajan, was inaccurate and did not reflect the looking times found by other trained coders. A reanalysis of the data reported in this paper failed to verify the reported effects, and thus the authors have requested that the publication be retracted.] Both human infants and adult non-human primates share the capacity to track small numbers of objects across time and occlusion. The question now facing developmental and comparative psychologists is whether similar mechanisms give rise to this capacity across the two populations. Here, we explore whether non-human primates' object tracking abilities are subject to the same constraints as those of human infants. In particular, we examine whether one primate species, the brown lemur (Eulemur fulvus), also fails to represent and enumerate objects when they behave non-rigidly or non-cohesively. We presented lemurs with a series of expectancy violation studies involving simple 1 + 1 addition events in which we varied the entities to be enumerated. Like infants, lemurs successfully enumerated the two objects when those objects were rigid, cohesive individuals, but failed to enumerate similar-looking non-rigid piles of sand. In contrast to human infants, however, lemurs successfully enumerated non-cohesive objects that broke into multiple pieces. These results are discussed in light of recent theories about object processing in human infants and adults. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)"
"6";"Early components of visual evoked potentials (VEP) in EEG seem to be unaffected by target visibility in visual masking studies. Bridgeman's reanalysis of Jeffreys and Musselwhite's (1986) data suggests that a later visual component in the VEP, around 250 ms reflects the perceptual effect of masking. We challenge this view on the ground that temporal interactions between targets and masks unrelated to stimulus visibility could account for Bridgeman's observation of a U-shaped time course in VEP amplitudes for this later component. In an MEG experiment of metacontrast masking with variable stimulus onset asynchrony, we introduce a proper control, a pseudo mask. In contrast to an effective mask, the pseudomask should produce neither behavioral masking nor amplitude modulations of late VEPs. Our results show that effective masks produced a strong U-shaped perceptual effect of target visibility while performance remained virtually perfect when a pseudomask was used. The visual components around 250 ms after target onset did not show a distinction between mask and pseudomask conditions. The results indicate that these visual evoked potentials do not reveal neurophysiological correlates of stimulus visibility but rather reflect dynamic interactions between superimposed potentials elicited by stimuli in close temporal proximity. However, we observed a postperceptual component around 340 ms after target onset, located over temporal-parietal cortex, which shows a clear effect of visibility. Based on P300 ERP literature, this finding could indicate that working memory related processes contribute to metacontrast masking. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"7";"Background: Cognitive behavioral therapy (CBT) with exposure and response prevention (ERP) is the psychotherapeutic treatment of choice for obsessive-compulsive disorder (OCD). However, little is known about the impact of CBT on frontostriatal dysfunctioning, known to be the neuronal correlate of OCD. Method: A probabilistic reversal learning (RL) task probing adaptive strategy switching capabilities was used in 10 unmedicated patients with OCD and 10 healthy controls during an event-related functional magnetic resonance imaging (fMRI) experiment. Patients were scanned before and after intensive CBT, controls twice at comparable intervals. Results: Strategy change within the RL task involved activity in a broad frontal network in patients and controls. No significant differences between the groups or in group by time interactions were detected in a whole-brain analysis corrected for multiple comparisons. However, a reanalysis with a more lenient threshold revealed decreased responsiveness of the orbitofrontal cortex and right putamen during strategy change before treatment in patients compared with healthy subjects. A group by time effect was found in the caudate nucleus, demonstrating increased activity for patients over the course of time. Patients with greater clinical improvement, reflected by greater reductions in Yale-Brown Obsessive Compulsive Scale (YBOCS) scores, showed more stable activation in the pallidum. Conclusions: Although these findings are preliminary and need to be replicated in larger samples, they indicate a possible influence of psychotherapy on brain activity in core regions that have been shown to be directly involved both in acquisition of behavioral rules and stereotypes and in the pathophysiology of OCD, the caudate nucleus and the pallidum. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"8";"We examined 14 patients with acute anteromedial pontomesencephalic infarctions for signs of vestibular and ocular motor dysfunction. In all cases, an isolated ipsilateral deviation of the subjective visual vertical (mean: 4.1, range: 2.7–6.6) was found without any further signs of vestibular or eye movement disorders like ocular torsion or skew deviation. Distinct lesions in thin-slice brainstem MRI showed an overlap zone in the medial portion of the medial lemniscus. The finding of putative ipsilateral vestibular projections running adjacent to or within the medial lemniscus was subsequently confirmed by a reanalysis of an anterograde tracer labelling study in the primate after tracer injection in the vestibular nucleus complex. The major conclusions of this study are as follows: (i) there is evidence for an ipsilateral graviceptive pathway running from the vestibular nuclei close to and within the medial lemniscus to the posterolateral thalamus [ipsilateral vestibulothalamic tract (IVTT)], (ii) this pathway might be the human homologue of the three-neuron sensory vestibulocortical tract described in primates and (iii) unilateral lesions of this pathway cause only vestibulo-perceptive dysfunction in the roll plane in contrast to lesions of the crossed graviceptive pathways (in the medial longitudinal fascicle), which were described earlier and which manifest as a combination of tilt of the subjective visual vertical, ocular torsion and skew deviation. (PsycINFO Database Record (c) 2013 APA, all rights reserved). (journal abstract)"
"9";"Background: International Remission Criteria (IRC) for schizophrenia were developed recently by a group of internationally known experts. The IRC detect only 10%–30% of cases and do not cover the diversity of forms and social functioning. Our aim was to design a more applicable tool and validate its use—the Standardized Clinical and Functional Remission Criteria (SCFRC). Methods: We used a 6-month follow-up study of 203 outpatients from two Moscow centers and another further sample of stable patients from a 1-year controlled trial of atypical versus typical medication. Diagnosis was confirmed by International Classification of Diseases Version 10 (ICD10) criteria and the Mini-International Neuropsychiatric Interview (MINI). Patients were assessed by the Positive and Negative Syndrome Scale, including intensity threshold, and further classified using the Russian domestic remission criteria and the level of social and personal functioning, according to the Personal and Social Performance Scale (PSP). The SCFRC were formulated and were validated by a data reanalysis on the first population sample and on a second independent sample (104 patients) and in an open-label prospective randomized 12-month comparative study of risperidone long-acting injectable (RLAI) versus olanzapine. Results: Only 64 of the 203 outpatients (31.5%) initially met the IRC, and 53 patients (26.1%) met the IRC after 6 months, without a change in treatment. Patients who were in remission had episodic and progressive deficit (39.6%), or remittent (15%) paranoid schizophrenia, or schizoaffective disorder (17%). In addition, 105 patients of 139 (51.7%), who did not meet symptomatic IRC, remained stable within the period. Reanalysis of data revealed that 65.5% of the patients met the SCFRC. In the controlled trial, 70% of patients in the RLAI group met the SCFRC and only 19% the IRC. In the routine treatment group, 55.9% met the SCFRC and only 5.7% the IRC. Results of the further independent sample demonstrated that 35% met the IRC, 65% the SCFRC, and 56% of patients met both the symptomatic and functional criteria. In the controlled trial of RLAI and olanzapine, 40% and 35% of patients, respectively, met the IRC, while 70% and 55%, respectively, met the SCFRC. Conclusion: In schizophrenia outpatients, a greater proportion of stable cases is detected in remission by SCFRC in comparison with IRC. The SCFRC were more sensitive to the full spectrum of schizophrenia. The SCFRC appear to be valid as a tool and clinically useful as they produce a comprehensive assessment of treatment effectiveness for a wide range of patients. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)"
"10";"Comments on responses by J. Pascual-Leone (see record 84-29918) and S. Morra and A. Scopesi (see record 84-29901) to the author's reanalysis of 2 studies of neo-Piagetian processing capacity measurement (see record 84-29817). The author states that the prime focus of his original paper was the measurement of processing capacity and not the theoretical nature of the construct and maintains that it is still necessary to establish the divergent validity of processing capacity measures while attempting to establish their construct validity. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
